"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"De'Von Achane","MIA","RB","299.9","277.2","22.69999999999999","17.6","16.3","1.3","17","78","73.49","592","480.77","6","4.2624","907","812.9512","6","8.13"
"Alvin Kamara","NO","RB","265.3","275","-9.699999999999989","18.9","19.6","-0.7","14","68","74.56","543","546.43","2","1.4112","950","961.5874","6","6.86"
"Bijan Robinson","ATL","RB","339.7","305.2","34.5","20","18","2","17","61","60.36","431","404.36","1","1.44","1456","1261.8598","14","11.6"
"Breece Hall","NYJ","RB","240.9","245.7","-4.799999999999983","15.1","15.4","-0.3","16","57","63.63","483","447.31","3","2.7168","876","903.5322","5","5.11"
"Chase Brown","CIN","RB","255","259","-4","15.9","16.2","-0.3","16","54","49.87","360","341.5","4","3.5808","990","944.4778","7","9.84"
"Jahmyr Gibbs","DET","RB","364.9","271.2","93.69999999999999","21.5","16","5.5","17","52","53.88","517","355.66","4","3.3216","1412","1023.3584","16","9.92"
"Javonte Williams","DEN","RB","161.9","192.4","-30.5","9.5","11.3","-1.8","17","52","55.58","346","385.53","0","1.0272","513","578.2796","4","5.71"
"Rachaad White","TB","RB","205.6","178.1","27.5","12.8","11.1","1.7","16","51","47.67","393","266.29","6","2.4576","613","603.7886","3","4.78"
"Aaron Jones","MIN","RB","247.6","263.7","-16.099999999999994","14.6","15.5","-0.9","17","51","47.58","408","322.98","2","3.696","1138","1067.2228","5","9.16"
"James Conner","ARZ","RB","251.8","237.5","14.300000000000011","15.7","14.8","0.9","16","47","47.38","414","318.87","1","1.3152","1094","958.825","8","9.07"
"Bucky Irving","TB","RB","246.4","216.7","29.700000000000017","14.5","12.7","1.7","17","47","45.13","392","260.21","0","1.584","1122","848.7502","8","8.53"
"Kenneth Walker III","SEA","RB","181.2","189.3","-8.100000000000023","16.5","17.2","-0.7","11","46","45.85","299","288.57","1","1.5744","573","642.0494","7","6.82"
"Chuba Hubbard","CAR","RB","245.6","246","-0.4000000000000057","16.4","16.4","0","15","43","45.69","171","282.84","1","1.4592","1195","1024.4176","10","10.13"
"D'Andre Swift","CHI","RB","212.5","226.2","-13.699999999999989","12.5","13.3","-0.8","17","42","43","386","317.5","0","0.2784","959","1093.0834","6","6.74"
"Zach Charbonnet","SEA","RB","183.7","163.5","20.19999999999999","10.8","9.6","1.2","17","42","41.11","308","274.28","1","0.3072","569","558.6706","8","6.21"
"Justice Hill","BLT","RB","127.1","95.9","31.19999999999999","8.5","6.4","2.1","15","42","39.07","383","251.44","3","1.1136","228","199.2634","1","0.85"
"Tony Pollard","TEN","RB","202.7","224.2","-21.5","12.7","14","-1.3","16","41","46.82","238","329.74","0","0.7104","1079","1134.0756","5","4.45"
"Ameer Abdullah","LV","RB","127.2","120.2","7","9.1","8.6","0.5","14","40","38.07","261","263.72","3","1.9008","311","273.9598","2","2.83"
"Rico Dowdle","DAL","RB","201.8","210.6","-8.799999999999983","12.6","13.2","-0.5","16","39","41.2","249","272.11","3","2.2272","1079","1012.1056","2","4.6"
"Travis Etienne Jr.","JAX","RB","132.2","164.7","-32.5","8.8","11","-2.2","15","39","41.83","254","276.1","0","1.4592","558","643.949","2","3.69"
"Jaylen Warren","PIT","RB","126.1","140.7","-14.599999999999994","8.4","9.4","-1","15","38","36.92","310","265.3","0","1.5456","511","514.8822","1","2.74"
"Tyrone Tracy","NYG","RB","186.3","182.9","3.4000000000000057","11","10.8","0.2","17","38","41.72","284","291.23","1","0.9696","839","827.6602","5","3.92"
"Jerome Ford","CLV","RB","134","122","12","9.6","8.7","0.9","14","37","35.78","225","241.7","0","0.4224","565","454.622","3","2.34"
"David Montgomery","DET","RB","219.6","199.8","19.799999999999983","15.7","14.3","1.4","14","36","31.87","341","226.17","0","0.7776","775","729.3482","12","11.28"
"Najee Harris","PIT","RB","204.6","232.8","-28.200000000000017","12","13.7","-1.7","17","36","40.42","283","264.03","0","0.6624","1043","1113.2224","6","8.45"
"Josh Jacobs","GB","RB","299.1","271.4","27.700000000000045","17.6","16","1.6","17","36","36.22","342","247.8","1","0.6912","1329","1233.1666","15","13.82"
"Joe Mixon","HST","RB","240.5","241","-0.5","17.2","17.2","0","14","36","40.54","309","267.21","1","2.1888","1016","1007.5788","11","9.97"
"Alexander Mattison","LV","RB","137.4","154.7","-17.299999999999983","9.8","11","-1.2","14","36","37.86","294","251.46","1","0.576","420","549.7134","4","5.55"
"Austin Ekeler","WAS","RB","132.3","117.9","14.400000000000006","11","9.8","1.2","12","35","34.89","366","226.72","0","0.6528","367","306.9474","4","4.29"
"Kyren Williams","LA","RB","278.1","275.4","2.7000000000000455","17.4","17.2","0.2","16","34","32.87","182","219.75","2","2.0736","1299","1293.2884","14","13.13"
"Rhamondre Stevenson","NE","RB","177.9","199.7","-21.799999999999983","11.9","13.3","-1.5","15","33","34.04","168","201.04","1","2.5344","801","863.3616","7","7.34"
"Saquon Barkley","PHI","RB","351.3","278.1","73.19999999999999","22","17.4","4.6","16","33","30.92","278","231.53","2","2.6208","2005","1448.5784","13","10.58"
"J.K. Dobbins","LAC","RB","191.8","176.6","15.200000000000017","14.8","13.6","1.2","13","32","30.89","153","189.24","0","1.0848","905","823.3388","9","6.32"
"James Cook","BUF","RB","266.7","209.8","56.89999999999998","16.7","13.1","3.6","16","32","32.41","258","230.14","2","1.2192","1009","850.6514","16","10.34"
"Tyjae Spears","TEN","RB","113.6","105.5","8.099999999999994","9.5","8.8","0.7","12","30","29.46","224","200.86","1","0.6528","312","358.357","4","2.7"
"Samaje Perine","KC","RB","81.4","67.4","14","4.8","4","0.8","17","28","27.28","322","180.16","1","1.6896","92","83.1432","1","0.61"
"Miles Sanders","CAR","RB","77.3","74.4","2.8999999999999915","7","6.8","0.3","11","24","23.29","148","149","1","0.6048","205","231.4082","2","1.57"
"Jaleel McLaughlin","DEN","RB","99.2","101.2","-2","6.2","6.3","-0.1","16","24","23.33","76","113.08","2","0.816","496","465.932","1","2.51"
"Antonio Gibson","NE","RB","103.4","110.7","-7.299999999999997","6.1","6.5","-0.4","17","23","23.72","206","182.85","0","0.432","538","517.6364","1","2.39"
"Zack Moss","CIN","RB","83.9","98","-14.099999999999994","10.5","12.3","-1.8","8","23","23.28","187","156.7","1","0.7392","242","297.2446","2","4.15"
"Kareem Hunt","KC","RB","155.4","189.8","-34.400000000000006","12","14.6","-2.6","13","23","23.18","176","120.72","0","2.7168","728","809.7952","7","9.55"
"Devin Singletary","NYG","RB","100.6","102.7","-2.1000000000000085","6.7","6.8","-0.1","15","21","21.69","119","138.21","0","0.0672","437","480.5046","4","3.12"
"Brian Robinson","WAS","RB","163.8","165","-1.1999999999999886","11.7","11.8","-0.1","14","20","20.87","159","134.02","0","0.4512","799","748.9976","8","8.86"
"Braelon Allen","NYJ","RB","85.2","92.5","-7.299999999999997","5","5.4","-0.4","17","19","22.84","148","170.98","1","0.3072","334","390.9906","2","1.93"
"Kyle Juszczyk","SF","RB","59.6","55","4.600000000000001","3.5","3.2","0.3","17","19","21.58","200","212.4","2","0.7872","26","17.395","1","0.96"
"Derrick Henry","BLT","RB","338.4","243.3","95.09999999999997","19.9","14.3","5.6","17","19","18.2","193","107.74","2","1.1904","1921","1346.8454","16","12.08"
"Raheem Mostert","MIA","RB","74.9","88.1","-13.199999999999989","5.8","6.8","-1","13","19","17.67","161","134.95","0","0.3744","278","348.655","2","3.3"
