"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
28,650333,"Arraez, Luis",1025,2.7,0.25,0.107,0.25,0.357,0.263,0.224,0.225,7,28,83.6,9.7,2333,89.2,89.25,0,28,0,0,6.49,113,148,112,147,266,310,301,"1.288","-1.288","60.7","5.5",28,28,4,3,0,0,0,0,0,0,2.39929,0.5325,0.2875,0.39464,"89.5",127,3.571428571428571,3.571428571428571,3.571428571428571,5.43,0.25,-0.03,2.62,0.25,1,"-4.6",0.225,0.299,"4.6",0.025,0.024999999999999994,0.058,0.039,0,"30.2",4.229919042960843,7.979894812979412,34.393205588316654,0.46153846153846156,34.809988924767225,30.16486208775267
24,663538,"Hoerner, Nico",995,2.4,0.25,0,0.25,0.25,0.222,0.196,0.197,6,24,85.1,15.9,2278,91.3,92,0,24,0,0.7000000000000028,6.66,108,150,117,147,299,320,285,"1.815","-1.815","67.7","6.9",24,24,6,0,0,0,0,0,0,0,1.88375,0.8725,0.60625,0.45042,"91.7",136,20.833333333333336,0,0,5.73,-0.89,0.06,2.41,0.25,0,"-7.5625",0.197,0.254,"7.5625",0.053,0.05299999999999999,-0.004,0.026,0,"41.3",3.5958380504428753,1.5596156455869585,32.71314524330954,0.4166666666666667,34.742860311901595,25.36857456099592
24,664034,"France, Ty",1059,2.3,0.417,0.083,0.417,0.5,0.402,0.388,0.383,10,24,90.9,16.1,2217,88.4,88.1,0,24,0,-0.30000000000001137,6.25,105,149,122,146,302,325,283,"-1.336","1.336","71.2","7.4",24,24,8,2,0,0,0,0,0,0,2.57083,0.39958,0.10458,-0.07208,"95.7",152,45.83333333333333,4.166666666666666,4.166666666666666,5.81,-0.86,-0.05,2.3,0.417,1,"5.566666667",0.383,0.515,"-5.566666667",0.034,0.033999999999999975,-0.015,0.014,0,"34.0",10.528079911972492,2.1253559420005868,34.3730160190416,0.7083333333333334,34.377859795065675,29.069674093379167
24,691026,"Winn, Masyn",1100,2.2,0.292,0.042,0.292,0.333,0.275,0.265,0.263,7,24,91.8,8.6,2296,90.1,89.9,0,24,0,-0.19999999999998863,6.21,103,151,118,147,307,323,283,"1.704","-1.704","70.4","7.4",24,24,6,1,0,0,0,0,0,0,2.27208,0.57042,0.40875,-0.30042,"94.1",152,33.33333333333333,0,0,5.72,0.46,-0.01,2.31,0.292,0,"-7.1",0.263,0.353,"7.1",0.029,0.02899999999999997,-0.02,0.01,0,"39.2",2.7431689699648203,-2.705638048278183,29.832228726925344,0.43478260869565216,32.484563616278386,33.28001515437328
24,805779,"Wilson, Jacob",921,2.6,0.609,0.087,0.583,0.696,0.55,0.393,0.435,14,23,83.6,16.8,2131,89.5,89.26,0,24,0,-0.20000000000000284,6.28,109,149,114,146,301,323,287,"-4.971","4.971","63.2","5.9",24,24,12,2,0,0,0,0,0,0,2.17792,0.79522,0.75875,0.74125,"91.5",167,29.166666666666668,0,0,5.81,-2.02,-0.14,2.51,0.583,0,"20.7125",0.419,0.496,"-20.7125",0.174,0.16399999999999998,0.2,0.157,0,"35.0",1.327719770014216,0.18046989466706798,34.04982603494123,0.2857142857142857,31.595549204896667,30.759428085821007
23,671218,"Ramos, Heliot",1219,1.9,0.348,0.043,0.348,0.391,0.326,0.327,0.315,8,23,90.6,0,2333,90.2,90.2,0,23,0,0,6.43,109,149,120,145,309,320,290,"-0.323","0.323","73.9","6.9",23,23,7,1,0,0,0,0,0,0,2.48348,0.3613,0.40304,0.11696,"94.7",118,39.130434782608695,4.3478260869565215,4.3478260869565215,5.96,-1.26,-0.13,2.18,0.348,1,"1.404347826",0.315,0.447,"-1.404347826",0.033,0.032999999999999974,-0.056,-0.001,0,"42.7",6.388656140597092,6.6406982523105915,33.02450788084192,0.7391304347826086,36.05464513296294,26.481514406816114
23,681624,"Pages, Andy",1055,2.2,0.391,0.13,0.391,0.522,0.397,0.42,0.41,9,23,85.2,8.9,2341,87.2,87.59,0,23,0,0.3999999999999915,6.45,107,150,123,144,300,323,290,"-1.992","1.992","72.6","8.0",23,23,6,3,0,0,0,0,0,0,2.92652,0.10217,-0.00435,-0.05913,"93.6",157,39.130434782608695,4.3478260869565215,4.3478260869565215,5.64,-0.03,0.23,2.07,0.391,1,"8.660869565",0.41,0.56,"-8.660869565",-0.019,-0.01899999999999996,-0.038,-0.023,0,"35.9",4.342947144380533,0.30798073812230875,42.55103601146585,0.5909090909090909,41.56203546951119,28.990533396218062
23,667670,"Rooker, Brent",1185,1.9,0.435,0.087,0.435,0.522,0.419,0.387,0.377,10,23,89.7,17.8,2224,89,89.01,0,23,0,0,6.47,107,149,121,144,305,326,295,"-1.817","1.817","72.0","6.8",23,23,8,2,0,0,0,0,0,0,2.36652,0.57478,0.62261,0.49043,"95.4",176,47.82608695652174,8.695652173913043,8.695652173913043,5.67,-2.1,0.14,2.43,0.435,2,"7.9",0.377,0.527,"-7.9",0.058,0.057999999999999996,-0.005,0.032,0,"34.8",7.877843057610644,0.15032358979860527,35.38851000797758,0.7368421052631579,37.230633892928005,29.790469351662498
23,665161,"Peña, Jeremy",1026,2.2,0.522,0.13,0.522,0.652,0.513,0.315,0.284,12,23,88.4,-2.6,2246,91,91.08,0,23,0,0.09999999999999432,6.43,109,152,113,147,301,313,292,"-3.787","3.787","73.6","7.4",23,23,9,3,0,0,0,0,0,0,2.14696,0.63304,0.41773,-0.025,"94.8",106,43.47826086956522,8.695652173913043,8.695652173913043,5.77,-1.17,0.32,2.43,0.522,2,"16.465217391",0.284,0.457,"-16.465217391",0.238,0.23800000000000004,0.195,0.198,0,"35.8",8.729587099753113,-2.052036206991942,29.275878494310447,0.8095238095238095,38.91383380131268,27.5951610552681
23,514888,"Altuve, Jose",1012,2.3,0.227,0,0.217,0.227,0.193,0.228,0.22,5,22,79.2,15,2328,89.5,89.8,0,23,0,0.29999999999999716,6.54,106,151,111,145,297,313,294,"1.167","-1.167","62.7","7.4",23,23,5,0,0,0,0,0,0,0,2.41565,0.48955,-0.11174,-0.24913,"91.8",124,26.08695652173913,0,0,5.88,-1.37,0.59,2.08,0.217,0,"-5.073913043",0.235,0.256,"5.073913043",0.007,-0.017999999999999988,-0.029,-0.035,0,"38.9",12.473597907530838,-7.091300054365199,30.097233423716276,0.5238095238095238,43.47819360706926,28.642688326803388
22,643217,"Benintendi, Andrew",686,3.2,0.333,0.19,0.318,0.524,0.352,0.472,0.384,7,21,90.9,19.5,2256,89.4,89.65,0,22,0,0.19999999999998863,6.55,120,147,112,152,278,321,297,"-0.256","0.256","68.6","7.1",22,22,3,4,0,0,0,0,0,0,2.15591,0.74227,0.75864,-0.45227,"95.6",216,54.54545454545454,18.181818181818183,18.181818181818183,5.92,-1.23,-0.32,2.23,0.318,4,"1.163636364",0.379,0.739,"-1.163636364",-0.051,-0.061,-0.215,-0.12,0,"38.8",14.179521470208433,-1.9681365982556942,32.675732902839826,0.75,32.70811181360875,35.28176829985953
