Batter,Pitcher,PA,Inning,Result,Exit Velo,LA,Hit Dist.,Bat Speed,Pitch Velocity,xBA,HR / Park
J.P. Crawford,Matthew Boyd,1,1,Groundout,100.4,-7,16,⚡78.8,93.1,0.27,
Julio Rodríguez,Matthew Boyd,2,1,Flyout,99,36,364,⚡78.4,79,0.2,2/30
Cal Raleigh,Matthew Boyd,3,1,Home Run,98.4,24,381,⚡80.8,94.6,0.39,1/30
Ian Happ,George Kirby,5,1,Home Run,103.5,34,425,73.6,95.9,0.58,28/30
Kyle Tucker,George Kirby,6,1,Single,103.3,3,76,71.9,96.5,0.56,
Seiya Suzuki,George Kirby,7,1,Double,104.4,18,322,73.4,88.5,0.5,0/30
Pete Crow-Armstrong,George Kirby,8,1,Pop Out,62,82,41,66.1,84.8,0,
Michael Busch,George Kirby,10,1,Single,92.2,18,265,69.3,85.2,0.62,
Nico Hoerner,George Kirby,11,1,Flyout,79.1,44,261,67.3,88.2,0.05,
Mitch Garver,Matthew Boyd,12,2,Pop Out,88.8,74,110,74.5,94.6,0.01,
Matt Shaw,George Kirby,15,2,Groundout,75.4,-35,3,61.8,87.7,0.07,
Ian Happ,George Kirby,17,2,Lineout,90.4,22,307,74.5,86.4,0.17,0/30
Ben Williamson,Matthew Boyd,18,3,Groundout,102.7,-1,33,70.1,80.6,0.45,
J.P. Crawford,Matthew Boyd,20,3,Groundout,70.1,10,124,68.9,93.6,0.28,
Kyle Tucker,George Kirby,21,3,Double,102.1,23,404,⚡78.8,84,0.62,0/30
Seiya Suzuki,George Kirby,22,3,Flyout,79.9,34,300,71.3,95.3,0.05,0/30
Pete Crow-Armstrong,George Kirby,23,3,Pop Out,86.4,87,24,74.7,86.9,0,
Dansby Swanson,George Kirby,24,3,Flyout,82.7,45,286,70.2,95.3,0.01,
Julio Rodríguez,Matthew Boyd,25,4,Lineout,107.8,18,359,⚡77.4,78.7,0.69,0/30
Donovan Solano,Matthew Boyd,29,4,Single,100.9,16,278,66.3,93.7,0.59,
Dylan Moore,Matthew Boyd,30,4,Pop Out,46.8,63,93,67.7,93.2,0.02,
Michael Busch,George Kirby,31,4,Single,88.8,19,246,73.8,94.8,0.65,
Nico Hoerner,George Kirby,32,4,Forceout,98.8,1,55,69.5,94.3,0.46,
Matt Shaw,George Kirby,33,4,Double Play,98.5,5,122,,95.9,0.5,
Ben Williamson,Matthew Boyd,34,5,Pop Out,73.4,67,145,71.9,93,0,
