Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
Aaron Judge,79,351,28,70,62,6,15.10%,25.40%,0.361,0.444,0.364,0.464,0.724,0.489,0.459,223,-3.5,46,1.1,6.1,15.10%,25.40%,0.6,0.364,0.464,0.724,1.189,0.361,4.8,0.444,-2.9,-0.6,90,49,0.489,223,0.444,0.81,19.90%,35.90%,44.20%,7.70%,30.80%,4,5.40%,0,0.00%,39.80%,34.50%,25.70%,10.70%,45.10%,44.20%,206,95,112.1,117.9,17.7,51,24.80%,112,54.40%,0.364,0.314,0.724,0.712,0.489,0.459
Adley Rutschman,68,276,8,31,20,0,11.60%,16.30%,0.145,0.247,0.227,0.319,0.372,0.309,0.35,100,-1.2,-1.2,2.4,1.1,11.60%,16.30%,0.71,0.227,0.319,0.372,0.691,0.145,2.1,0.247,-0.8,-0.5,31,-1.2,0.309,100,0.247,0.95,17.20%,40.40%,42.40%,6.00%,9.50%,6,7.50%,0,0.00%,41.60%,34.00%,24.40%,10.70%,52.80%,36.50%,229,94.2,109.9,114.3,9.1,37,16.20%,128,55.90%,0.253,0.317,0.484,0.645,0.378,0.458
Adolis García,75,293,9,26,38,7,6.10%,24.20%,0.165,0.276,0.232,0.283,0.397,0.296,0.333,88,0.8,-3.1,-1.2,0.6,6.10%,24.20%,0.25,0.232,0.283,0.397,0.68,0.165,3.7,0.276,0.6,0.2,30,-4.3,0.296,88,0.276,0.6,15.40%,31.80%,52.70%,14.20%,8.50%,5,7.80%,0,0.00%,36.80%,35.80%,27.40%,13.90%,47.30%,38.80%,220,95.1,110.1,117.9,13,46,20.90%,136,61.80%,0.289,0.292,0.627,0.662,0.422,0.435
Alec Bohm,76,318,7,32,36,2,5.00%,15.70%,0.115,0.322,0.287,0.327,0.402,0.32,0.331,103,-0.3,0.8,2.2,1.4,5.00%,15.70%,0.32,0.287,0.327,0.402,0.729,0.115,3.5,0.322,-0.1,-0.2,38,1.5,0.32,103,0.322,1.83,21.70%,50.60%,27.70%,4.30%,10.10%,5,4.00%,0,0.00%,31.70%,39.80%,28.50%,14.50%,50.60%,34.90%,223,94.3,111.6,115.4,15.7,45,20.20%,122,54.70%,0.286,0.302,0.545,0.614,0.395,0.423
Alec Burleson,69,249,9,25,33,3,5.60%,13.30%,0.165,0.318,0.303,0.339,0.468,0.348,0.339,124,-0.3,6.6,-4.6,1,5.60%,13.30%,0.42,0.303,0.339,0.468,0.806,0.165,3.1,0.318,-0.5,0.2,36,6.7,0.348,124,0.318,0.95,16.60%,40.70%,42.70%,10.60%,10.60%,2,2.50%,2,100.00%,37.80%,43.30%,18.90%,14.40%,48.30%,37.30%,199,93.8,109.6,116.7,19.1,32,16.10%,116,58.30%,0.247,0.275,0.535,0.6,0.391,0.42
Alejandro Kirk,64,256,7,20,36,0,6.30%,10.20%,0.123,0.32,0.309,0.352,0.432,0.342,0.364,122,-3.7,2.7,16.1,2.8,6.30%,10.20%,0.62,0.309,0.352,0.432,0.784,0.123,0.5,0.32,-3.2,-0.5,35,5.7,0.342,122,0.32,1.33,20.20%,45.50%,34.30%,12.30%,9.60%,2,2.10%,0,0.00%,31.50%,36.60%,31.90%,10.30%,48.80%,40.80%,242,93.5,111.3,120.4,7.5,36,14.90%,132,54.50%,0.281,0.324,0.441,0.54,0.36,0.413
Andrew McCutchen,71,285,8,25,28,1,10.20%,20.70%,0.147,0.306,0.259,0.338,0.406,0.328,0.342,106,-1.8,0.3,-5.5,0.4,10.20%,20.70%,0.49,0.259,0.338,0.406,0.744,0.147,1.8,0.306,-1.5,-0.3,36,3.2,0.328,106,0.306,1.18,18.00%,44.30%,37.60%,15.10%,11.00%,6,7.00%,0,0.00%,49.00%,33.00%,18.00%,18.60%,49.50%,32.00%,210,94.1,111.8,117.9,5.7,41,19.50%,121,57.60%,0.281,0.29,0.561,0.601,0.399,0.413
Andy Pages,76,308,16,40,53,6,4.20%,18.80%,0.22,0.315,0.294,0.331,0.514,0.362,0.352,134,0.8,13,5.5,3,4.20%,18.80%,0.22,0.294,0.331,0.514,0.845,0.22,4.3,0.315,1.3,-0.5,48,11.9,0.362,134,0.315,0.88,23.70%,35.80%,40.50%,4.30%,17.00%,6,7.20%,0,0.00%,40.90%,34.50%,24.60%,12.50%,55.60%,31.90%,174,93.1,108.1,113.2,11,28,16.10%,95,54.60%,0.241,0.299,0.496,0.581,0.353,0.412
Anthony Volpe,78,315,9,33,43,8,8.90%,25.70%,0.19,0.29,0.233,0.306,0.423,0.317,0.311,103,-1,0.1,2.5,1.4,8.90%,25.70%,0.35,0.233,0.306,0.423,0.729,0.19,5.5,0.29,0.6,-1.6,37,0.7,0.317,103,0.29,1.12,12.90%,46.00%,41.10%,10.80%,10.80%,7,7.50%,0,0.00%,36.50%,34.00%,29.60%,18.20%,52.20%,29.60%,182,92.7,106.9,111.4,14,19,10.40%,97,53.30%,0.332,0.314,0.49,0.522,0.397,0.403
Austin Riley,78,347,12,45,41,2,6.60%,28.00%,0.163,0.358,0.275,0.329,0.438,0.334,0.346,112,-1.1,3.6,0.2,1.6,6.60%,28.00%,0.24,0.275,0.329,0.438,0.766,0.163,3.5,0.358,-0.6,-0.6,46,5.6,0.334,112,0.358,0.79,24.10%,33.50%,42.40%,11.60%,12.60%,8,10.70%,0,0.00%,44.20%,35.70%,20.10%,15.60%,48.70%,35.70%,245,91.2,104.3,108.7,19.2,32,13.10%,112,45.70%,0.288,0.291,0.524,0.553,0.392,0.401
